IMDB ID,Total Revenue
tt0109686,"$247,275,374"
tt0111797,"$7,294,403"
tt0109759,"$4,221,036"
tt0109758,"$6,841,570"
tt0109707,"$5,887,457"
tt0113117,"$101,982,854"
tt0113097,"$33,177,694"
tt0113028,"$11,642,946"
tt0113198,"$35,348,597"
tt0113303,"$12,201,255"
tt0113089,"$3,987,768"
tt0109771,"$1,600,226"
tt0113199,"$3,941,146"
tt0113234,"$57,100"
tt0109906,"$3,291,163"
tt0110057,"$11,830,611"
tt0110005,"$3,049,135"
tt0110066,"$26,325,256"
tt0110116,"$9,914,409"
tt0110006,"$17,689,177"
tt0113360,"$6,609,661"
tt0110099,"$26,381,221"
tt0110148,"$223,664,608"
tt0113463,"$2,473,668"
tt0110189,"$7,557,877"
tt0110216,"$108,431,355"
tt0113501,"$36,853,222"
tt0113538,"$13,406,717"
tt0113552,"$14,942,422"
tt0076759,"$775,749,212"
tt0110367,"$50,083,616"
tt0113670,"$10,015,449"
tt0110296,"$152,457"
tt0109731,"$39,003"
tt0103994,"$21,744,201"
tt0110322,"$160,638,883"
tt0110443,"$30,112,050"
tt0110365,"$1,095,885"
tt0107566,"$3,267,313"
tt0110391,"$18,272,894"
tt0113691,"$7,603,766"
tt0110428,"$15,238,689"
tt0109836,"$112,006,296"
tt0113755,"$40,070,995"
tt0110538,"$6,821,850"
tt0110516,"$18,137,661"
tt0110527,"$46,264,384"
tt0113808,"$5,221,281"
tt0113896,"$11,079,373"
tt0113870,"$17,381,942"
tt0110684,"$39,491,975"
tt0110638,"$106,683,817"
tt0113967,"$3,565,508"
tt0117169,0
tt0106402,0
tt0113948,0
tt0110671,0
tt0110632,"$50,282,766"
tt0110737,"$20,059,210"
tt0110729,"$1,608,570"
tt0114151,0
tt0114069,"$189,859,560"
tt0110413,"$19,552,639"
tt0114113,"$2,832,826"
tt0114210,"$345,972"
tt0110912,"$214,194,847"
tt0114084,"$6,834,525"
tt0105652,"$152,322"
tt0110889,"$4,165,845"
tt0110932,"$24,822,619"
tt0114129,"$1,238,905"
tt0110963,"$1,318,578"
tt0114214,"$18,636,537"
tt0114296,"$12,096,881"
tt0110907,"$11,300,653"
tt0111495,"$3,581,969"
tt0108394,"$1,341,154"
tt0111507,"$1,237,219"
tt0110769,0
tt0114268,0
tt0110965,0
tt0114571,"$912,082"
tt0111333,"$9,771,658"
tt0111112,"$6,159,269"
tt0111255,"$170,362,582"
tt0111282,"$196,567,262"
tt0111070,"$189,833,357"
tt0111161,"$28,815,291"
tt0111149,"$2,079,569"
tt0108260,"$102,780"
tt0106966,"$2,087,569"
tt0114594,"$382,928"
tt0111309,"$766,464"
tt0113936,"$4,686,937"
tt0110081,"$2,332,728"
tt0114614,"$4,064,495"
tt0114608,"$21,089,146"
tt0111280,"$118,071,125"
tt0114609,"$11,837,928"
tt0111454,"$538,534"
tt0114852,"$9,418,365"
tt0114694,"$32,679,899"
tt0111590,"$1,746,050"
tt0114788,"$536,023"
tt0114888,"$6,014,341"
tt0108550,"$10,032,765"
tt0114857,"$24,047,675"
tt0114924,"$182,057,016"
tt0111667,"$16,928,556"
tt0109655,"$759,393"
tt0110598,"$15,482,277"
tt0112435,"$9,685,976"
tt0109040,"$107,217,396"
tt0109045,"$11,224,491"
tt0106339,"$2,392,589"
tt0104779,"$1,862,805"
tt0109348,"$13,383,747"
tt0109444,"$215,887,717"
tt0109446,"$117,615,211"
tt0109484,"$20,164,171"
tt0109504,"$13,642,861"
tt0109506,"$50,693,129"
tt0109450,"$1,007,583"
tt0109813,"$341,631,208"
tt0109830,"$678,226,805"
tt0109831,"$245,700,877"
tt0113305,"$38,290,723"
tt0110091,"$1,760,527"
tt0110093,"$30,806,194"
tt0110167,"$37,939,757"
tt0110213,"$43,229,904"
tt0107472,"$449,707"
tt0110357,"$968,511,805"
tt0107426,"$4,858,139"
tt0111686,"$19,721,741"
tt0110475,"$351,583,407"
tt0110478,"$183,031,272"
tt0110588,"$2,144,667"
tt0110622,"$51,132,598"
tt0110771,"$48,424,341"
tt0110950,"$33,351,557"
tt0105226,"$2,502,551"
tt0110989,"$38,087,756"
tt0111054,"$1,618,282"
tt0110997,"$94,216,343"
tt0111257,"$350,448,145"
tt0111256,"$20,667,959"
tt0111438,"$101,646,581"
tt0111503,"$378,882,411"
tt0111693,"$50,021,959"
tt0111742,"$131,002,597"
tt0111756,"$25,052,000"
tt0112443,"$3,674,841"
tt0110455,"$920,916"
tt0111048,"$63,513"
tt0110399,"$29,392,418"
tt0112570,0
tt0109454,"$464,284"
tt0059170,0
tt0110186,"$20,851,521"
tt0108069,"$70,441"
tt0111301,"$99,431,786"
tt0112702,"$16,198"
tt0112849,0
tt0113014,0
tt0113043,0
tt0113104,0
tt0113173,0
tt0113319,0
tt0113827,0
tt0114047,"$9,481"
tt0112889,0
tt0109339,"$41,430"
tt0110027,"$12,303,080"
tt0109785,"$514,775"
tt0113409,"$8,924,549"
tt0109021,"$19,623,396"
tt0109035,"$16,192,320"
tt0106220,"$48,919,043"
tt0111804,"$10,184,701"
tt0106226,"$32,255,440"
tt0109068,"$5,751,882"
tt0109067,"$21,011,318"
tt0106292,"$20,208,496"
tt0109198,"$15,240,435"
tt0109219,"$7,266,973"
tt0106379,"$1,519,366"
tt0106400,"$57,405,220"
tt0109254,"$119,208,989"
tt0109279,"$4,630,377"
tt0109297,"$16,696,219"
tt0109303,"$30,156,002"
tt0109305,"$23,070,663"
tt0109306,"$3,359,465"
tt0106452,"$428,868"
tt0106471,"$1,796,389"
tt0106489,"$17,287,898"
tt0109361,"$3,662,459"
tt0106505,"$2,570,550"
tt0106519,"$63,851,527"
tt0109439,"$43,622,150"
tt0109443,"$7,355,425"
tt0106582,"$255,000,211"
tt0106598,"$21,274,717"
tt0109456,"$19,726,050"
tt0109480,"$11,391,093"
tt0109493,"$20,280,016"
tt0106660,"$1,261,210"
tt0106673,"$63,270,710"
tt0106677,"$7,993,039"
tt0106697,"$58,055,768"
tt0109729,"$2,155,385"
tt0106834,"$1,708,873"
tt0106873,"$7,839,327"
tt0106332,"$5,985,074"
tt0109783,"$3,134,381"
tt0106881,"$6,995,302"
tt0106880,"$233,824"
tt0111732,"$20,016,254"
tt0106926,"$9,709,451"
tt0111712,"$6,243,722"
tt0106941,"$11,146,270"
tt0106918,"$270,248,367"
tt0106965,"$153,698,625"
tt0109842,"$8,094,616"
tt0106977,"$368,875,760"
tt0107004,"$18,635,620"
tt0109890,"$30,057,974"
tt0109891,"$18,869,594"
tt0109913,"$2,405,285"
tt0109920,"$2,308,390"
tt0107057,"$22,866,222"
tt0107076,"$74,189,677"
tt0107096,"$5,864,949"
tt0107144,"$133,752,825"
tt0113674,"$23,808"
tt0112966,"$10,904,930"
tt0107151,"$6,265,311"
tt0110064,"$19,281,235"
tt0110074,"$2,816,518"
tt0110097,"$10,424,645"
tt0110123,"$28,881,266"
tt0107206,"$176,997,168"
tt0107207,"$65,796,862"
tt0110137,"$8,880,705"
tt0108551,"$39,100,956"
tt0110197,"$3,783,003"
tt0107286,"$12,526,677"
tt0107290,"$1,033,920,013"
tt0107302,"$2,395,231"
tt0110265,"$418,961"
tt0107322,"$1,214,231"
tt0110305,"$9,979,683"
tt0107362,"$137,298,489"
tt0107413,"$12,440,858"
tt0110353,"$16,821,273"
tt0107468,"$1,498,795"
tt0107478,"$104,942,695"
tt0107497,"$46,405,336"
tt0107501,"$24,760,338"
tt0107507,"$11,330,911"
tt0107554,"$27,912,072"
tt0116253,"$121,969,216"
tt0074102,0
tt0111689,0
tt0107616,"$22,549,338"
tt0107611,"$8,345,845"
tt0107613,"$3,125,424"
tt0107614,"$441,286,195"
tt0107653,"$1,769,305"
tt0110657,"$15,876,353"
tt0110649,"$245,217"
tt0110678,"$15,339,030"
tt0110687,"$7,182,747"
tt0107756,"$5,377,643"
tt0107808,"$135,130,999"
tt0107818,"$206,678,440"
tt0107822,"$40,185,556"
tt0107840,"$27,515,786"
tt0107889,"$23,032,565"
tt0111003,"$8,647,042"
tt0110939,"$1,316,865"
tt0110955,"$11,439,193"
tt0107943,"$23,237,911"
tt0110971,"$24,332,324"
tt0107969,"$107,198,790"
tt0111001,"$6,562,513"
tt0107978,"$10,696,210"
tt0107977,"$35,739,755"
tt0107983,"$3,275,585"
tt0105275,"$175,340"
tt0108000,"$1,001,437"
tt0108002,"$22,881,563"
tt0108026,"$134,454"
tt0105032,"$662,341"
tt0108052,"$322,287,794"
tt0111094,"$2,694,234"
tt0108065,"$7,266,383"
